Name,Author,Created,Description,Featured,Last Updated,Public,Published,Slug,Tags,Tweet
Next.js Notion Starter Kit 2 (copy),https://twitter.com/transitive_bs,"June 8, 2022 2:53 PM",Deploy your own Notion-powered website in minutes with Next.js and Vercel.,No,"June 8, 2022 9:59 PM",No,"January 20, 2021",,"Node.js, OSS, Projects, React.js, Web Dev",
Example page using a custom slug 2 (copy),https://twitter.com/transitive_bs,"June 8, 2022 2:53 PM",,No,"June 8, 2022 9:59 PM",No,"March 7, 2018",,OSS,
Example article 2 (copy),https://twitter.com/transitive_bs,"June 8, 2022 2:53 PM",The best techniques for sharing code snippets and screencasts that will help propel your open source projects to success.,No,"June 8, 2022 9:59 PM",No,"March 7, 2018",,"Node.js, OSS",
helloWorld(),Jano Detzel,"June 8, 2022 9:59 PM",First blog post on janodetzel.com,No,"November 12, 2023 9:55 PM",Yes,"June 8, 2022",,"Software Development, Web Dev",1535377570447118336
VSCode → Neovim,Jano Detzel,"June 24, 2022 1:54 AM",My journey of switching from VSCode to Neovim as it is the most loved editor,No,"September 8, 2022 8:40 AM",Yes,"June 24, 2022",,"IDE, Software Development",https://twitter.com/janodetzel1/status/1540129054753431552?s=21&t=ioZpLsUR8_N75qmmqRcXKg
